Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Consultant, Data Science and Analytics","₹2,609K
₹3,712K","What We'll Bring:

TransUnion, a global information and insights company, is seeking a highly-skilled Consultant for its Data Science & Analytics team.

You will apply your analytical skills to work on all aspects of the account lifecycle in the consumer credit domain on behalf of a diverse set of clients, ranging from marketing and propensity models for customer acquisition and retention, fraud detection solutions, credit risk models for acquisition and account management, cross-sell applications, portfolio models for regulatory applications, event-based trigger solutions, and strategy analyses of various kinds. You will also develop complex analytic solutions to help streamline Transunion’s IT operations, improve data quality and customer experience partnering with other departments.

Advancement opportunities exist in both a technical and managerial track depending on the candidate’s desires and aptitudes.

What You'll Bring:

Protecting the health and wellness of our associates and candidates considering a career at TransUnion is our highest priority. In supporting this vision, our recruitment and new hire experience for this role is fully virtual for the time being. Candidates interviewing will get to know our team over the phone and video, and this role will operate virtually upon hire until we return to the office. Even though we’re not physically together right now, our goal is to provide you a supportive candidate and new hire experience that will immerse you in our culture and set you up for success at TransUnion.

Dynamics of the Role

TransUnion, a global information and insights company, is seeking a highly-skilled Consultant for its Data Science & Analytics team.

You will apply your analytical skills to work on all aspects of the account lifecycle in the consumer credit domain on behalf of a diverse set of clients, ranging from marketing and propensity models for customer acquisition and retention, fraud detection solutions, credit risk models for acquisition and account management, cross-sell applications, portfolio models for regulatory applications, event-based trigger solutions, and strategy analyses of various kinds. You will also develop complex analytic solutions to help streamline Transunion’s IT operations, improve data quality and customer experience partnering with other departments.

Advancement opportunities exist in both a technical and managerial track depending on the candidate’s desires and aptitudes.

The Team’s Focus

The Data Science & Analytics team is an industry-recognized, client-facing department that rewards an entrepreneurial spirit. We have deep technical expertise and an established reputation as an analytic solutions provider in the consumer identity and credit information space. We have a wealth of data and industry experience within our large group of highly-trained analysts, Data Scientists, engineers, and economists. We also have a modern computing environment based on best-in-class “big data” technologies and the freedom to explore new data sources and statistical and machine learning methodologies. All of these resources will enable you to help us deliver next-generation analytic solutions for our customers.

How You’ll Contribute

This position is responsible for developing data-driven solutions to challenging and complex problems related to IT infrastructure/ operations, data ingestion and quality control, and enhancing customer experience. You will also be responsible for consumer credit models, strategies, and business intelligence solutions through consulting engagements and research serving TransUnion and its clients. This position requires an understanding of consumer lending, credit risk management practices, IT operations and process engineering.

You will partner with internal and external cross-functional teams to drive new business initiatives and deliver long term value-added product propositions for B2B customers in the US financial services segment at TransUnion. This includes but is not limited to the development of predictive risk management and business intelligence solutions for credit card issuers, auto & mortgage lenders, collections agencies and retail banks.
You will lead analytic client engagements involving descriptive, predictive, and prescriptive leveraging a variety of techniques (e.g., segmentation, logistic regression, survival analysis, principal component analysis, Monte Carlo simulation, scenario and sensitivity analysis).
You will design and write programs for data extraction, segmentation and statistical analysis on large population datasets using languages such as R, SAS, Python, SQL, Hive, and Pig on Linux, PC, and mainframe computing platforms.
You will deliver analytic insights and recommendations in succinct and compelling presentations for internal and external customers and an executive audience.
You will develop project proposals, sales presentations, and promotional collateral to enable the adoption of integrated customer solutions supported by TransUnion.
You will identify strategies and opportunities for customers to test and adopt TransUnion’s analytic products and services.
You will provide mentorship and training to junior colleagues and maintain progress on all initiatives under limited direct supervision.
You will foster a high-performance culture and cultivate an environment that promotes excellence and reflects the TransUnion brand.

What You’ll Bring

Master’s or PhD degree in statistics, applied mathematics, financial mathematics, engineering, operations research, or another highly quantitative field. A track record of academic excellence
At least two (2) years of professional experience performing analytic work in Financial Services, Technology, or related industries. Experience applying advanced analytics to planning and infrastructure problems is preferred.
Multiple examples of demonstrated success in client-facing roles over a period of at least two (2) years
Ability to travel 10-20%
Strong analytical, critical thinking, and creative problem-solving skills
Advanced programming skills; mastery of a statistical language such as R or SAS; experience using other programming and data manipulation languages (SQL, Hive, Pig, Python, C/C++, Java); proficiency with Microsoft Office tools
Versatile interpersonal and communication style with the ability to effectively communicate at multiple levels within and outside the organization; ability to work in a collaborative, fast-paced environment
Strong project management skills with the ability to manage multiple assignments effectively
An understanding of current industry challenges and trends at the level needed to proactively identify customers’ analytical needs and related business opportunities

Impact You'll Make:

What We Offer

We aim high — and are reaching for new heights every day. This is a terrific time to join our team as we build on our commitment to integrity, service, reliability, and innovation. These values stand behind the decisions we make every day, as well as our relationships at work and with the customers we serve. We believe in the power to achieve and are taking it in bold new directions.

Who We Are

A global leader in credit information and information management services, TransUnion gives businesses, consumers and the global community the power to achieve their goals. Businesses count on us to better manage risk and customer relationships. Consumers are able to better manage credit to achieve their financial goals. And in communities around the world, we help build strong economies and give people the power to achieve their dreams.

Exceptional opportunities are coming as we build on this strong foundation. Our ambitious growth strategy includes substantial new investment worldwide, a wide range of new solutions to help our customers succeed like never before, and new ideas for expanding our reach in every part of our dynamic and fast-moving industry. We’re on an exciting journey and you can be a part of it.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.

TransUnion Job Title

Consultant, Data Science and Analytics",4.0,"TransUnion
4.0",Chennai,-1,5001 to 10000 Employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1
Senior Data Scientist,"₹552K
₹885K","Infoblox is seeking a Senior Data Scientist for the Cybersecurity team in Bangalore. In this role, we are looking for professionals who are well versed in scalable data mining, machine learning techniques, and love to build analytics models. The successful candidate enjoys working in a fast-paced, geographically diverse, multidisciplinary environment. This team designs and builds complex models that learn from Infoblox networks and DNS data to provide security solutions. This role reports to Manager, Data Science-based in Tacoma, WA.

Joining our team in Bangalore, India, will be an opportunity to grow your career in data science, innovate, and contribute thought leadership. You will have the chance to work with experts in next-generation technology and help drive the project and product portfolio to achieve departmental and corporate goals.

Responsibilities:
Apply data mining and machine learning techniques for a variety of modeling problems involving DNS and networking data
Build complex statistical models that learn from and scale to petabytes of data
Develop deployment architecture and scripts for automated system deployment in AWS
Create software to extract, clean and manipulate large datasets both structured and unstructured
Construct data staging layers and fast real-time systems to feed machine learning algorithms
Work with architects and product managers to develop efficient and reliable algorithms
Work collaboratively across multi-disciplinary teams throughout the company as a subject matter expert in analytics with a focus on security solutions and implementation
Requirements:
6+ years of experience with 2+ years in a practical Machine Learning experience with demonstrated experience in feature engineering and data analysis
4+ years of experience in analytic design and implementation
4+ years experience in Big Data with Spark/Hadoop tech stack
4+ years in the hands-on analytic environment, with the ability to articulate analytic needs and translate them into research and development requirements
Demonstrated ability to quickly learn new tools and paradigms to deploy cutting-edge solutions.
Expertise in automating and deploying models in production systems
Familiar with best practices for engineering in an enterprise environment
Proficient in Python, with specific expertise in Python’s data science and machine learning libraries
Strong written and spoken communication skills
Experience with Amazon Web Services
Experience with one or more of, Keras, and TensorFlow
Proficiency in Java or Scala, particularly in a big data spark/hadoop environment
Expertise in streaming analytics frameworks such as Apache Spark, Storm, MOA and WekA
Knowledge of Hadoop architecture, HDFS, Map-Reduce Algorithms and Elastic Search
Network security background, familiarity with botnets, DDoS, and other threat types
Education:
Masters or Ph.D. in Computer Science, Mathematics, CE, EE or related
It’s an exciting time to be at Infoblox. We are the market leader in technology for network control. Our success depends on bright, energetic, talented people who share a passion for excellence in building the next generation of networking technologies—and having fun along the way. Infoblox offers a fast-paced, action-oriented environment. We promote a culture that embraces innovation, change, teamwork, and strong partnerships. Join the winning Infoblox team—our future looks bright, and so will yours. To check out what it’s like to be a Bloxer click here.

#LI-NY1",4.2,"Infoblox
4.2",Bangalore,-1,1001 to 5000 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),-1
Data Scientist,"₹258K
₹910K","Site Name: India - Karnataka - Bengaluru
Posted Date: Jul 28 2020
GSK is one of the worlds foremost pharmaceutical and healthcare companies and we are proud to be leading a healthcare revolution.

By disrupting our approaches to R&D and commercial business processes, D&A is allowing us to integrate, simplify and unlock all our data to drive innovation, decision making and enable our transformation in servicing our patients, healthcare professionals and consumers.

YOU would be responsible for the following:
Demonstrate specialization in AI/ML and Cognitive technology, process automation and process mining.
A strong business architecture foundation combined with technical skills background.
Deliver key analytics projects in an agile methodology.
Lead the investigation and detailed analysis of Cognitive ML/AI Incidents and process exceptions including a strategic approach to root cause analysis.
Provide accurate specifications and timely deliverance of all our products which need a good foundation of Data analytics, ML algorithm, python and other related coding experience
Follow proper DevOps methodologies, CI/CD pipelines, change and release management controls.
We are looking for professionals with these skills to achieve our goals. If YOU have these skills, we would like to speak to you.
MS/BS degree in Computer Science, Engineering, Design
Experience in Advanced analytics systems including but not limited to Apache, Hadoop, or any other Hadoop systems, HDFS, Graph and other non-relational databases.
Experience with in cloud or on-premise environment.
Experience on Azure ML, Azure Cognitive services is preferred.
Technical expert in AI/ML algorithms who can take these algorithms developed in Python, Scala, spark etc.
Experience in deploying AI/ML algorithms. Expert understanding of performance evaluation of the models.
Extensive experience in UAT, SAT and UX for adv analytics.
Why GSK?


Our values and expectations are at the heart of everything we do and form an important part of our culture. These include Patient focus, Transparency, Respect, Integrity along with Courage, Accountability, Development, and Teamwork. As GSK focuses on our values and expectations and a culture of innovation, performance and trust, the successful candidate will demonstrate the following capabilities.

GSKIndia_DA

*LI-GSK

Our goal is to be one of the worlds most innovative, best performing and trusted healthcare companies. We believe that we all bring something unique to GSK and when we combine our knowledge, experiences and styles together, the impact is incredible. Come join our adventure at GSK where you will be inspired to do your best work for our patients and consumers. A place where you can be you, feel good and keep growing.

Important notice to Employment businesses/ Agencies

GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.

It has come to our attention that the names of GlaxoSmithKline or GSK or our group companies are being used in connection with bogus job advertisements or through unsolicited emails asking candidates to make some payments for recruitment opportunities and interview. Please be advised that such advertisements and emails are not connected with the GlaxoSmithKline group in any way.

GlaxoSmithKline does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection with recruitment with any GlaxoSmithKilne (or GSK) group company at any worldwide location. Even if they claim that the money is refundable.

If you come across unsolicited email from email addresses not ending in gsk.com or job advertisements which state that you should contact an email address that does not end in gsk.com, you should disregard the same and inform us by emailing askus@gsk.com, so that we can confirm to you if the job is genuine.",3.9,"GSK
3.9",Bangalore,-1,10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Data Scientist,-1,"4-6 Years

|

NOIDA

|

Job Description
Co-relationship models
ARIMA
Exponential Moving Average
Smoothened Exponential Moving Average
Croston
Requirement
Good Oral and Written Communication Skills
Data Digger/Data Analyst
Analytical
Self Starter",-1,Infoky,Noida,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"₹349K
₹859K","We are looking for a Data Scientist with experience of 3-6 years that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in building data science solutions using machine learning algorithms, doing statistical analysis, and building high quality prediction systems integrated with our products.

Responsibilities:
Identifying the key problem in the system and proposing a solution
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Identify third party data that can be used to enhance the information gained
Processing, cleansing, and verifying the integrity of data used for analysis
Building unsupervised and supervised learning algorithms on existing data such that systems should be proactive in nature

Skills and Qualifications
3-6 years of experience with post graduate/Phd degree in mathematics, statistics, IT or Computer science from IIT/IIIT/NIT/recognized universities
Excellent understanding of machine learning techniques and algorithms, such as Random Forest, Regression, XG Boost, k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as R, Python, Octave, Java. Excellence in at least one of these is a must.
Great communication skills
Proficiency in SQL is must.
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase will be good to have.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
To apply on this job, email your resume at alka.dhingra@magicbricks.com",3.7,"Magicbricks
3.7",Bangalore,-1,1001 to 5000 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,"₹20K
₹25K","When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.3,"TTEC
3.3",Hyderābād,-1,10000+ Employees,1982,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1
Data Scientist-2,"₹114K
₹2,165K","Role and responsibilities

Work with business partners and stake holders to understand the business, formulate the problems, come up with the solutions and communicate them back effectively to non-technical audience.

Lead complex, multifunctional data science projects

Design, develop and implement real-time, highly complex advance machine learning models to solve credit business problems (demand generation, marketing, fraud, credit, account management and collections)

Work with large volumes of data; extract and manipulate large datasets using standard tools such as Python, R, H2O, Hadoop and SQL

Collaborate with engineers to implement models on one of the best data platforms in the industry.

Analyze data to identify trends, perform root cause analysis and test hypotheses.

Communicate complex concepts and the results of the models and analyses to technical and non-technical audience

Mentor and grow junior data scientists

Qualification

Advance degree (MS or PhD) in science or engineering field with 4+ years of relevant experience

Strong problem-solving and communication skills

Proven track record of building and implementing machine learning solutions

Experience in leading cross-functional, highly complex Data Science projects

Data Mining experience in Python, R, H2O and/or SAS. Familiar with various Machine Learning algorithms and Statistical methods

Have a passion for working on big data and professional experience in data mining, statistical analysis, predictive modeling and data manipulation.

Ability to deal with large amount of data and fluency with SQL or SQL-like tools.

Financial services or eCommerce experience a big plus",3.6,"Paypal
3.6",Chennai,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Analyst 2,"₹114K
₹2,165K","Scope of responsibility:
Proficiency to complete assignment with multiple steps, guided by defined processes and project requirements.
Focuses primarily on completing short-term goals of a project efficiently and effectively
Functional Skills
Solid technical / data mining skills and ability to work with large volumes of data; extract and manipulate large datasets using tools such as SQL, SAS, Hadoop or other programming/scripting languages (Perl, R, Java/C/C++, etc.) to translate data into business decisions/results
Intermediate statistical skills, proficiency in experimental design, and ability to forecast real-world performance based on samples, simulations and user behavior analytics
Solid knowledge in rule writing systems, development and implementation of complex decision frameworks by coding action rules and decision tables using BAL (Business Action Language), variables creation, RADD files design, regular expression proficiency (see examples in the last tab)
Intermediate capability to create/revamp innovative and technical solutions that require the processing of large datasets across different platforms. Collaborate with other analysts to achieve the optimal level of system automation decisions and minimize human intervention
Intermediate capability to create and own ""Standard Operation Procedures"" and clearly articulate methods and principles of account review and user facing interaction
Strong analytical skills -- ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases and forecasts to navigate through multi-dimensional sets of tradeoffs.
Enthusiasm for data-driven problem solving within a fast-paced environment is a must. In addition, experience with Microsoft Excel or statistical software, working knowledge of SQL or other relational database languages, and hands-on experience in data analysis involving large data sets are strongly desired but not absolutely required.
communication skills risk analysts need to collaborate cross-functionally with product managers, data scientists, business owners, and customers to learn from subject-matter experts, present findings in a clear and concise manner, and reach alignment on how to execute risk strategies.
Can-do attitude, team player, energetic personality, ability to work well under pressure in a fast-paced and constantly changing environment to meet deadlines. The successful risk analyst is a self-starter who has the resilience to learn from their mistakes and reach their true potential.
An innate intellectual curiosity, and a willingness to build awareness of current payments industry and risk management best practices. PayPal is constantly innovating by introducing new products and entering new markets, so successful risk analysts on this team must quickly get up speed on new content areas.
BS/BA degree with 2+ years of experience, MS degree with 1+ year of experience",3.6,"Paypal
3.6",Bangalore,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist,"₹342K
₹984K","Currently we are looking for a Senior Computer Vision Engineer who is passionate about the sphere of Big Data, Data Science and AI.

Responsibilities:
Creating solutions and products for leading representatives of different industries;
Analysing business problems, looking for better technical solutions and their implementation;
Expanding company’s expertise in the field of Computer Vision;
Management of the direction of the company in the future.",-1,Exeliq Consulting,Maharashtra,-1,1 to 50 Employees,2019,Company - Public,-1,-1,Less than $1 million (USD),-1
Data Analyst - Associate,"₹127K
₹3,779K","JPMC is looking at expanding our digital capabilities and we are investing in growth opportunities for various businesses. We are looking for commercially minded, customer focused, hands on engineers, who want to be a part of building exciting product offering. A core responsibility is to produce secure, scalable technical solutions to support our market leading products.

Culture is as important to us and we are looking for intellectually curious and honest, passionate, hungry individuals who would like to expand their skills whilst working on a new exciting venture for the firm. This role will be based in Bangalore, India. A JPMorgan Chase & Co.'s global team of technologists and innovators, helps to positively impact the company, as well as our clients and our business partners around the world.

The success of this business relies on the platform that will be built - we will be using a stack that is cloud native relying on cutting edge technology and seek full stack minded engineers.

In this role, the candidate will be responsible for providing analytical SQL support to various functions within the business. Over time, the support will also extend to providing statistical analysis and consequently, this role will suit a candidate looking to extend their analytical capabilities.

Key Responsibilities
Provide analytical support using SQL in order to help Business-LOBs to measure KPIs or perform ad-hoc data exploration
Gain familiarity with a variety of data sources ranging from incoming event-streams to tabular data across various LOBs
Help the LOB stakeholders innovate through data-driven decisioning by querying data and merging information from diverse data sources to create rich datasets that enable better decision-making
Work with other Analytics teams and multi-task on projects to summarize and synthesize data and present recommendations to the businesses in a clear and logical manner
Identify unexplored data opportunities for the business to unlock and maximize the potential of digital data within the organization
Support ongoing technology evaluation process and proof of concept projects
Qualifications
Proven working experience as a data analyst or business data analyst
Knowledge of modern MPP databases and big-data (Hadoop) concepts
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Experience with relational databases utilizing SQL to pull and summarize large datasets, report creation and ad-hoc analyses
Experience in agile reporting development and ability to interpret unstructured data and draw objective inferences given known limitations of the data
Demonstrated ability to think beyond raw data and to understand the underlying business context and sense business opportunities hidden in data
Strong written and oral communication skills; ability to communicate effectively with all levels of management and partners from a variety of business functions
Self-starter who can provide insights and drive results in a dynamic and fast evolving environment
Ability to define and track project deliveries through to implementation
Proactive/self-starter with the ability to deliver value-added support to business partners in a dependable, timely and accurate manner
Adept at multi-tasking and meeting deadlines in high-pressure environment
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",3.9,"J.P. Morgan
3.9",Bangalore,-1,10000+ Employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
Data Analyst,"₹11K
₹34K","The position is full-time and would be based at the company’s Chennai office. The successful applicant would have 1 - 2 years' relevant experience and be responsible for collection, validation & analysis of Mutual fund data.

Key Areas of Responsibility
Collection, validation, analysis of mutual fund information.
Updating the mutual fund information into our databases in a timely manner.
Perform quality checks.
Communicate with UK and Offshore asset management companies via email/telephone.
Provide clarifications to clients’ queries based on priority and urgency levels.
Extract and provide various project-related reports as required by the manager.
Key Skills

Key Technical Skills
Possess basic knowledge of Mutual funds and/or of the financial sector.
Proficient in MS Office (including MS Outlook)
Key Behavioural Skills
Very good written and spoken English communication skills.
Good Analytical and Problem solving skills.
Ability to work independently and come up with ideas to enhance the process.
Ability to achieve the defined SLA standards with regard to Turn Around Time, Work accuracy etc. and maintain them throughout one’s tenure in the department.
Ability to quickly learn new concepts relating to Mutual funds and be able to apply them in the work.
How to Apply

To apply for this job, click here

If you have any questions regarding this job, please feel free to email india.jobs@financialexpress.net

FE UK",4.1,"FE UK
4.1",Chennai,-1,501 to 1000 Employees,1996,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
Data Scientist,"₹342K
₹984K","Eyeota is looking for an exceptional Data Scientist who is passionate about data and motivated to build large scale machine learning solutions to shine our data products. This person will be contributing to the analytics of data for insight discovery and development of machine learning pipeline to support modeling of terabytes of daily data for various use cases.

Qualifications:
2+ years relevant working experience
Master/Bachelors in computer science or engineering
Working knowledge of Python and SQL
Experience in time series data, data manipulation, analytics and visualization
Experience working with large-scale data
Proficiency of various ML algorithms for supervised and unsupervised learning
Experience working in Agile/Lean model
Experience with Java and Golang is a plus
Experience with BI toolkit such as Tableau, Superset, Quicksight, etc is a plus
Exposure to building large-scale ML models using one or more of modern tools and libraries such as AWS Sagemaker, Spark ML-Lib, Dask, Tensorflow, PyTorch, Keras, GCP ML Stack
Exposure to modern Big Data tech such as Cassandra/Scylla, Kafka, Ceph, Hadoop, Spark
Exposure to IAAS platforms such as AWS, GCP, Azure

About Eyeota

Eyeota provides a dynamic, fun workplace filled with passionate individuals. We are at the cutting edge of advertising technology and there is never a dull moment at work.

We have a truly global footprint, with our headquarters in Singapore and offices in Australia, United States, United Kingdom and India

At Eyeota you will gain work experience in a global startup. We speak over 20 different languages, from more than 16 different nationalities and over 42% of our staff are multilingual.

Eyeota is an Equal Opportunity Employer.

Powered by JazzHR

S6QaWf82ez",3.4,"Eyeota
3.4",Pune,-1,51 to 200 Employees,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Data Scientist,-1,"Primary Responsibility: The data scientist/analyst will support DSS in the areas of advanced data analytics. The analyst will be required to provide support in client engagement and data analysis, create dashboards, benchmarking.

Need strong power point, excel modelling skills, analytical and quantitative problem-solving skills, work effectively with people at all levels, communicate complex ideas effectively – both verbally and in writing. Willingness to travel extensively. Experience in the areas of Operations Management in industry verticals such as Oil & Gas/ Chemicals/ Utilities/ Mining & Metals would be an added advantage.

Desired Skillsets

4-8 years of professional experience in Data insights generation & storytelling,
Ability to build Visualization layers using Tableau/Power BI to drive the story
Capability to build predictive models using R & Python etc.
Strong presentation skills with Powerpoint and ability to articulate insights very clearly to clients
Good knowledge of scripting and ability to write complicated yet efficient SQL queries and stored procedures
Experience in building data products, Embedded analytics and reporting
Full understanding of the processes of data quality, data cleansing, and data transformation
Experience in leading team of 2-4 people, coach them and drive project outcomes through them
Can handle end to end project by his own and ability to independently manage the clients and expectations
Experience in end-to-end implementation of Business Intelligence (BI) reports & dashboards.
Background in software/web application development with tools such as Javascript, HTML, C# etc. is added advantage
Comfortable in manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources.Ability to research and troubleshoot technical problems.

Other Requirements

Experience in operations risk management consulting space is preferred
Preferably in one of the industries - Oil & Gas/ Chemical & Petrochemicals/Utilities/Mining & Metals
Proven work experience as a data analyst / data scientist
Programming experience in statistical modelling languages such as R, Python is a plus
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information/data with attention to detail and accuracy
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Knowledge and experience with reporting packages and databases
Knowledge of statistics and experience using statistical packages for analyzing large datasets (Excel, DB, Hadoop etc.) is a plus
Adept at queries, report writing, interpreting and presenting findings

MUST be open to travel on client engagements to within and outside India (for short durations)",-1,DSS Sustainable Solutions,Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
